count,o,label
35,http://purl.obolibrary.org/obo/ENVO_01001307,partially_surrounded_by
23,http://purl.obolibrary.org/obo/RO_0002219,surrounded by
2,http://purl.obolibrary.org/obo/RO_0002176,connects
3,http://purl.obolibrary.org/obo/ENVO_2000036,generates
3,http://purl.obolibrary.org/obo/RO_0002303,has habitat
2,http://purl.obolibrary.org/obo/ENVO_02500016,results in expansion of
1,http://purl.obolibrary.org/obo/ENVO_02500020,results in proliferation of
4,http://purl.obolibrary.org/obo/RO_0002211,regulates (processual)
