count,o,label
8,http://purl.obolibrary.org/obo/pato#reciprocal_of,reciprocal_of
108,http://purl.obolibrary.org/obo/pato#increased_in_magnitude_relative_to,increased_in_magnitude_relative_to
107,http://purl.obolibrary.org/obo/pato#decreased_in_magnitude_relative_to,decreased_in_magnitude_relative_to
9,http://purl.obolibrary.org/obo/BFO_0000051,has_part
6,http://purl.obolibrary.org/obo/pato#towards,towards
5,http://purl.obolibrary.org/obo/pato#has_cross_section,has_cross_section
1,http://purl.obolibrary.org/obo/pato#correlates_with,correlates_with
92,http://purl.obolibrary.org/obo/pato#has_relative_magnitude,has_relative_magnitude
